,,"Income range $0 - $30,000","$30,001 - $48,000","$48,001 - $75,000","$75,001 - $110,000","$110,001.00"
MA,Williams College,65822,66180,65228,56270,31205
MA,Amherst College,72786,72083,70334,59810,31847
CA,Pomona College,67809,66586,64264,57418,28213
PA,Swarthmore College,83051,61804,62129,53522,26814
MA,Wellesley College,72830,72277,67278,50035,26222
ME,Bowdoin College,67349,66077,61610,52384,28426
MN,Carleton College,62497,62352,62379,52395,32693
NY,Barnard College,55753,58478,51957,42608,15180
CA,Claremont McKenna College,66247,57336,53951,25056,19374
IA,Grinnell College,59774,54792,53131,45152,29722
VT,Middlebury College,71841,67500,63888,55954,28100
CT,Wesleyan University,74286,73935,68437,63900,27719
NC,Davidson College,66012,67733,61369,57681,35223
NY,Hamilton College,67115,65968,59891,54623,32580
CA,Harvey Mudd College,52378,52278,45373,41953,25653
MA,Smith College,60958,56247,53733,46017,27181
NY,Vassar College,66307,62621,53309,53234,24744
NY,Colgate College,66657,63556,62236,56727,32175
PA,Haverford College,71120,69843,63395,57672,26202
VA,Washington and Lee University,76831,76857,73468,67205,33654
ME,Bates College,70645,70412,65755,52035,35017
ME,Colby College,72443,71906,73111,61170,35478
VA,University of Richmond,58998,59425,58896,47923,23522
MA,College of the Holy Cross,53212,54694,48558,36709,19197
MN,Macalester College,62091,62761,56044,49788,34277
KY,Berea College,52209,53752,51242,43396,0
PA,Bryn Mawr College,58758,63223,49766,47811,21557
PA,Bucknell Univeristy,54390,58850,51563,46057,25344
PA,Lafayette College,49875,54972,43737,39051,20381
CO,Colorado College,67852,65386,60818,49499,32790
MA,Mount Holyoke College,52113,48660,47565,39344,29425
PA,Franklin and Marshall College,63272,62151,57869,49766,31298
CA,Occidental College,58399,59097,57612,50915,27434
CA,Scripps College,79863,56870,50190,38303,24093
NY,Skidmore College,63252,61759,57946,48202,32305
OH,Denison University,60644,54856,52482,42439,30838
MI,Hillsdale College,0,0,0,0,0
OH,Kenyon College,58236,55879,52518,44146,27460
CA,Pitzer College,57519,53745,55481,39021,22750
GA,Spelman College,14278,12893,10081,8712,6652
CT,Trinity College,68446,65733,62452,56604,33381
NY,Union College (NY),65026,57654,54959,48220,30800
CT,Connecticut College,57609,60931,56959,46949,32231
IN,DePauw University,53904,53353,35293,46320,33839
PA,Dickinson College,59225,59019,56586,47111,33363
SC,Furman University,56880,48483,46305,41171,33173
WA,Whitman College,51634,47547,35996,34581,24509
KY,Centre College,45752,45731,42396,39376,31203
OH,Oberlin College,65591,67427,61101,52543,35232
IL,Principia College,0,0,0,0,0