,,Tuition,Acceptance Rate,Graduation Rate,Most Popular Major
MA,Williams College,59350,8.83,93.8,Economics
MA,Amherst College,60700,8.74,92.4,Mathematics
CA,Pomona College,56284,6.64,93,Economics
PA,Swarthmore College,55856,7.79,94.1,Economics
MA,Wellesley College,60424,16.2,92.1,Economics
ME,Bowdoin College,57776,8.82,93.8,Political Science
MN,Carleton College,59850,17.5,91.4,Computer Science
NY,Barnard College,57734,11.5,92.8,Economics
CA,Claremont McKenna College,57876,11.2,92.7,Economics
IA,Grinnell College,58156,10.5,86.9,Computer Science
VT,Middlebury College,58330,13.4,91.2,Economics
CT,Wesleyan University,61449,19.4,91,Psychology
NC,Davidson College,54460,17.8,89.6,Economics
NY,Hamilton College,59380,14.1,91.5,Economics
CA,Harvey Mudd College,60402,9.99,94.4,Engineering
MA,Smith College,55830,29.9,91,Psychology
NY,Vassar College,61940,20.1,92.5,Biology
NY,Colgate College,61594,17.2,90.3,Economics
PA,Haverford College,60442,17.8,90.1,Chemistry
VA,Washington and Lee University,58260,18.8,93.6,Business
ME,Bates College,59062,17.3,91.7,Psychology
ME,Colby College,58640,8.87,86.6,Political Science
VA,University of Richmond,58570,28.8,89.2,Business
MA,College of the Holy Cross,55800,42.9,92.5,Economics
MN,Macalester College,60288,31.3,89.7,Economics
KY,Berea College,42900,33,65.6,Business
PA,Bryn Mawr College,55025,39.3,87,Mathematics
PA,Bucknell Univeristy,59474,34.5,88,Economics
PA,Lafayette College,55874,40.7,87.9,Economics
CO,Colorado College,61596,14.3,85.7,Economics
MA,Mount Holyoke College,56300,52.3,85,Psychology
PA,Franklin and Marshall College,63216,37.5,82.8,Multidisciplinary
CA,Occidental College,57830,38.2,82.9,Economics
CA,Scripps College,58224,29.5,82.3,Psychology
NY,Skidmore College,59064,30.6,83.6,Business
OH,Denison University,57500,28.3,81.3,Economics
MI,Hillsdale College,28730,23.7,87.6,Economics
OH,Kenyon College,63060,36.5,86.9,English
CA,Pitzer College,57686,18.3,88.4,Psychology
GA,Spelman College,25249,50.8,76.2,Psychology
CT,Trinity College,58610,37.7,85.2,Political Science
NY,Union College (NY),61308,47,84.5,Political Science
CT,Connecticut College,60420,41,81,Psychology
IN,DePauw University,52900,64.7,82.6,Economics
PA,Dickinson College,58158,48.1,82.4,Business
SC,Furman University,52992,71.4,81.9,Political Science
WA,Whitman College,55560,59,88.7,Psychology
KY,Centre College,46000,68,86.4,Economics
OH,Oberlin College,59384,34.3,82.3,Music
IL,Principia College,29970,84.1,85.9,Business